id;nombre;descripcion;fecha_ingreso;presentacion;generico
1;Regional Ergonómico;../fake-data/blob/hipster.txt;2021-05-02T23:45:23;Emulsion;../fake-data/blob/hipster.txt
2;blockchains Platinum;../fake-data/blob/hipster.txt;2021-05-03T05:42:03;Crema;../fake-data/blob/hipster.txt
3;haptic synthesize;../fake-data/blob/hipster.txt;2021-05-02T20:45:50;Comprimido;../fake-data/blob/hipster.txt
4;engineer;../fake-data/blob/hipster.txt;2021-05-03T10:13:04;Emulsion;../fake-data/blob/hipster.txt
5;EXE;../fake-data/blob/hipster.txt;2021-05-02T17:14:43;Pasta;../fake-data/blob/hipster.txt
6;conjunto compress;../fake-data/blob/hipster.txt;2021-05-03T00:59:10;Gragea;../fake-data/blob/hipster.txt
7;copying;../fake-data/blob/hipster.txt;2021-05-03T02:50:51;Unguento;../fake-data/blob/hipster.txt
8;Universal Tanzania;../fake-data/blob/hipster.txt;2021-05-03T11:48:13;Unguento;../fake-data/blob/hipster.txt
9;synthesize bypass Bután;../fake-data/blob/hipster.txt;2021-05-03T01:26:49;Comprimido;../fake-data/blob/hipster.txt
10;multitarea;../fake-data/blob/hipster.txt;2021-05-03T14:41:58;Suspension;../fake-data/blob/hipster.txt
