id;fecha_inicio;fecha_actualizacion;estado;tipo_notificacion
1;2021-05-02T15:19:31;2021-05-03T09:21:59;31436;72917
2;2021-05-03T06:52:26;2021-05-02T23:06:28;27889;95649
3;2021-05-02T19:38:53;2021-05-03T09:02:02;30976;44346
4;2021-05-03T03:11:45;2021-05-02T16:11:36;69235;65075
5;2021-05-03T00:41:01;2021-05-02T17:13:46;37131;49302
6;2021-05-02T16:07:26;2021-05-02T17:56:29;18814;68850
7;2021-05-02T18:35:01;2021-05-03T04:43:47;50901;74403
8;2021-05-03T10:39:48;2021-05-02T22:35:15;35368;96076
9;2021-05-03T07:57:15;2021-05-03T06:26:41;42183;13337
10;2021-05-03T08:38:14;2021-05-03T13:44:42;48208;86077
