id;token_conexion;activo;fecha_inicio;fecha_fin
1;drive Pasaje XSS;true;2021-05-03T08:39:34;2021-05-02T15:09:27
2;Checking navigate benchmark;false;2021-05-02T20:32:50;2021-05-03T06:45:55
3;Decoración;false;2021-05-02T20:42:33;2021-05-03T14:03:54
4;Canarias Home a;false;2021-05-03T04:54:44;2021-05-03T06:34:48
5;deposit;true;2021-05-02T21:29:54;2021-05-03T06:16:39
6;Morado;false;2021-05-03T07:41:46;2021-05-03T07:11:43
7;Respuesta;false;2021-05-03T07:08:00;2021-05-02T21:57:02
8;Informática Genérico;true;2021-05-02T20:08:54;2021-05-02T17:45:41
9;Artesanal Pantalones Raton;true;2021-05-02T17:03:17;2021-05-03T10:18:37
10;Morado;false;2021-05-03T10:24:27;2021-05-03T13:55:02
